cluster,feature
C1_f1,f1_mr_score_10
C1_f1,f1_dist_ma_sigma_10
C1_f1,f1_hilo_pos_10
C1_f1,f1_mr_score_20
C1_f1,f10_oto_ret
C2_f1,f1_ret_reversal_10
C2_f1,f1_dist_ma_sigma_20
C2_f1,f1_ret_reversal_20
C2_f1,f1_hilo_pos_20
C2_f1,f1_mr_score_40
C2_f1,f1_dist_ma_sigma_40
C2_f1,f1_hilo_pos_40
C2_f1,f1_rsi_14
C2_f1,f1_bb_pctb_20
C2_f1,f6_ts_momentum_20
C2_f1,f6_macd_hist_12_26_9
C2_f1,f10_oto_ret_mean_20
C2_f1,f13_realized_semi_vol_ratio
C3_f2,f2_vol_10
C3_f2,f2_vol_20
C3_f2,f2_vol_60
C3_f2,f2_vol_of_vol_20
C3_f2,f2_parkinson_20
C3_f2,f2_garman_klass_20
C3_f2,f2_atr_14
C3_f2,f10_hl_range_mean_20
C4_f7,f7_volume_z_20
C4_f7,f7_volume_trend_20
C4_f7,f10_hl_range
C4_f7,hmm_vol_p0_calm
C4_f7,hmm_vol_p2_turbulent
C5_f6,f1_ret_reversal_40
C5_f6,f6_ts_momentum_60
C5_f6,f6_ma_cross_20_60
C5_f6,f6_macd_12_26
C5_f6,f11_breakeven_10y
C5_f6,f11_copper_stock_z
C5_f6,f15_ewma_implied_corr_z
C6_f11,f2_vol_pctile_20
C6_f11,f11_us_2s10s_slope
C6_f11,f11_crude_stock_surprise
C6_f11,f11_ism_pmi_level
C6_f11,f11_global_pmi_breadth
C7_f11,f2_ret_skew_60
C7_f11,f11_move_z
C7_f11,f11_gasoline_stock_surprise
C7_f11,f11_ng_stock_surprise
C7_f11,f11_baltic_dry_z
C7_f11,f11_baltic_5d_change
C7_f11,f12_mra_energy_D1
C7_f11,f12_mra_energy_D2
C7_f11,f12_mra_energy_D3
C7_f11,f12_mra_energy_D4
C7_f11,hmm_macro_entropy
C8_f13,f2_vol_ratio_20_60
C8_f13,f13_expected_hit_time
C8_f13,f13_prob_timeout
C9_f7,f1_bb_bandwidth_20
C9_f7,f2_ret_kurt_60
C9_f7,f6_adx_14
C9_f7,f7_oi_level
C9_f7,f7_oi_price_div_20
C9_f7,f11_ism_pmi_3m_change
C9_f7,f12_mra_energy_D5
C9_f7,f13_path_tortuosity_20d
C10_f11_lowfreq_macro,f11_skew_z
C10_f11_lowfreq_macro,f11_ust_10y_5d_change
C10_f11_lowfreq_macro,f11_bund_10y_5d_change
C10_f11_lowfreq_macro,f11_real_yield_10y
C10_f11_lowfreq_macro,f11_dist_stock_surprise
C11_f7,f7_oi_change
C11_f7,f7_oi_z_20
C12_f11_lowfreq_macro,f11_vix_level_z
C12_f11_lowfreq_macro,f11_vix_5d_change
C12_f11_lowfreq_macro,f11_vix_term_slope
C12_f11_lowfreq_macro,f11_be_5d_change
C12_f11_lowfreq_macro,f11_hy_oas_5d_change
C13_f11_lowfreq_macro,f11_dxy_5d_change
C13_f11_lowfreq_macro,f11_eurusd_5d_change
C14_f11_lowfreq_macro,f11_move_vix_ratio
C14_f11_lowfreq_macro,f11_ust_bund_spread
C14_f11_lowfreq_macro,f11_hy_ig_ratio
C14_f11_lowfreq_macro,f11_dxy_z
C15_f11,f11_hy_oas_z
C15_f11,f11_ig_oas_z
C15_f11,f11_china_pmi_level
C15_f11,hmm_macro_p0
F4_latent,f4_pc1
F4_latent,f4_pc2
F4_latent,f4_pc3
F4_latent,f4_pc4
F5_signal,f5_signal
F5_signal,f5_trailing_run_length
F5_signal,f5_participation_20
F5_signal,f5_long_bias_20
F5_signal,f5_sign_agree_mr
F8_calendar,f8_dow_sin
F8_calendar,f8_dow_cos
F8_calendar,f8_month_sin
F8_calendar,f8_month_cos
